City,co,no2,o3,so2,pm10,pm25,Cluster
Abu Dhabi,-1.1605891710763423,0.3588299493586048,1.4149520669482245,0.4629013856686637,2.3409063340163305,1.4074687240499846,4
Amsterdam,-0.3890936470490005,-0.04364969449115599,0.340472434463323,-0.9614252785578534,-0.6935086484732012,-0.7341697374656114,0
Ankara,1.3334956992203524,2.21492129870352,-0.5545191666589621,0.18381435563256326,0.3410758021519639,-0.0022123077582102864,3
Athens,-1.1606027841398874,0.26712551055566286,1.6826290715084902,0.05048912997476563,-0.2982634469108653,-0.26771694318621775,0
Belgrade,0.13255182714072647,0.23026815835349598,-0.0423468277596207,0.798400722598507,-0.2818720585477375,0.08043263353584233,3
Bilbao,-1.1199003697797763,-0.8133858664879792,0.6642636751661943,-0.27920676976743775,-0.7586114259333542,-0.8495083633673325,0
Bogotá,0.4422334571987456,-0.8512324754275482,-1.7895918797133898,-0.8683062373515994,-0.13396172028657294,-0.20352142401805343,1
Brisbane,-0.5976334264889771,-1.6095254959029113,-1.69500588501392,-0.8235909091593546,-0.8118662003898971,-1.3400312428543444,1
Brussels,-1.1606027841398874,-0.11337261325387153,0.23054272133587228,-0.7240015544936472,-0.6533800857011247,-0.6388190167928317,0
Budapest,0.1401933482152011,0.0021453233345304604,0.0596436334892109,-0.3610191301544965,-0.5094411426888602,-0.4447480559153005,0
Buenos Aires,-0.2879209276005261,-0.26243432817563356,-1.000111229489755,0.13165318976203885,-0.5108847663195116,-0.6701143296116603,1
Calama,-0.20734267474919127,-0.8384745345496172,-0.29959177682427546,-0.6745016704727061,0.13456024904035785,-1.0006799651028107,1
Chiang Mai,-0.8165323272220527,-1.1337310115342465,-1.0726084669788392,-0.6715533039127082,0.1566167473849672,0.7890740945835484,1
Copenhagen,-0.6247559087351371,-0.7383091286421319,0.692218840532009,-0.9305816923191162,-0.45866372760765894,-0.8256291281159629,0
Dammam,1.596594046271407,-1.7000260173230026,-0.06287538787894284,-0.4957518419846876,-0.6512741898728966,1.7406268546514776,1
Delhi,1.4189778309293657,1.2577906932390228,-1.10796167021476,0.618710448752908,4.714192057544925,3.764922168942525,2
Fresno,-0.3076232155048651,-0.6070969746115141,1.0123979601399224,-0.7002955663274656,-0.0509052931447761,-0.6563043817664456,0
Hamburg,-1.1606027841398874,0.04185761890462701,0.36697417768980073,-0.38938116376390525,-0.6947447379689735,-0.6729736914046127,0
Hanoi,-0.03688865167349047,0.2790921400346843,-1.111253148648282,2.496854152571996,0.32173306942537655,0.9728667441489308,4
Hong Kong,0.4328891490256346,1.7519841490220454,0.22426139302602152,-0.31615417884714736,-0.18676678675536634,0.018189413675948604,3
Irbid,2.679839151130928,-0.4785707766110616,0.2400941852447098,0.40944331800342487,-0.37645954940295956,0.4828872791202015,5
Lima,2.0235953161592364,0.2434577061654022,-1.7968997779656288,1.5772484216881149,0.6535425255297176,0.5595070245048346,5
London,-0.044422800699123875,-0.46879251349827344,0.43914484049648633,-0.5415749615858023,-0.6708392975680065,-0.9243573800181332,0
Macau,0.5082798392686182,0.6941969070349587,0.33478657767328807,-0.3836723757629841,0.20403876336927126,0.07822825415819112,3
Manila,0.6852072818334739,0.4375494159299377,2.2887249337842537,1.3331467947414806,-0.3766191964561635,-0.31547628938654987,0
Marseille,-1.1606027841398874,0.296988701509664,0.8145323340267013,-0.8003720070676132,-0.4890277765839094,-0.6878990419310196,0
Morelia,2.365382776461787,0.035516652734301095,0.4800467150958365,3.192382515392474,0.24208706158608004,0.10798384244670721,5
Moscow,-0.35968668357181655,1.1083305625610747,-0.6029261368310372,-0.7334161585688688,-0.5564652608560486,-0.7519084431929586,3
Nicosia,-0.3754978868490318,-0.2629836591683374,1.2003663861803968,-0.6709867937360174,0.041277162510317184,-0.044984525078963535,0
Oslo,-1.1606027841398874,0.24427161121551919,0.3123921704488911,-0.8487021619965341,-0.7993440285546306,-1.1410959950150128,0
Pristina,2.6405978297360355,-0.10474216836022031,-0.0896474570750133,0.6967227870026709,-0.5604874199143595,0.24587968765033064,5
Quito,0.5136349007195566,1.8639698850184063,-0.06803471801629224,0.10068691998765163,-0.0523779847424684,-0.2366894893817419,3
Reykjavík,-1.1606027841398874,-1.5777222668858017,-0.9579276810541065,-0.5191309640541175,-1.0905949911926904,-1.6041105950506405,1
Rijeka,-1.1606027841398874,-1.4896447004566353,1.5051423153809194,-0.19131480806471518,-0.8266476032465501,-0.8785225193615732,0
Rome,-1.1606027841398874,0.4457483038062352,0.22074658580718004,-0.8872484402724872,-0.44336536205558014,-0.4470783251658135,0
Saint-Denis,-1.1606027841398874,-1.6629134169464184,-0.3440638199572621,-0.8882304443778638,-0.9179070888071963,-1.295845108303382,1
Sarajevo,-0.3793875749598875,-0.056157547306249375,0.39892547823029906,1.6620028439224042,0.06927985226327263,0.6278950129950134,4
Seoul,0.38461164022773503,2.9320806466000846,0.3823935732920817,0.5493110860481513,0.2726406656346177,0.32179677341109286,3
Shijiazhuang,0.7114478461564026,1.1545462371961537,1.318473848773524,1.8674467468624936,2.280275148653968,2.3190798826444854,4
Singapore,0.13675430528282373,-0.11576284527189566,-1.0430797077891016,-0.008421582360093908,-0.25555912745367415,-0.49869460945455385,1
Skopje,-0.21383442107987305,-0.784425120300876,-0.6412581156577098,-0.6464972970538669,0.1824418756539903,0.582617995185877,1
Sofia,-1.159887954557083,-0.6219745281090694,-0.21127596584191846,-0.6990037193464699,-0.38814831454899373,0.7282265201245941,1
São Paulo,0.1083431541181643,0.8114011435799688,-0.4602484727445673,-0.74175346339061,-0.35852478826751605,-0.298033026502788,3
Taipei,0.07852157573457341,0.5105661628810921,0.6960879871823394,-0.281825650353458,-0.18017430049116498,-0.331118391852361,0
Tashkent,0.4801384161766295,-1.1045799562372096,-2.361151362421209,-0.12568762734223843,0.3565937406212734,1.2840630990243815,1
Tbilisi,0.11257538563607931,0.5191277379372191,-0.4507879600217355,0.08988374770642887,0.1811977077775704,0.1466916133660812,3
Tel Aviv,0.06904488305490716,1.0839262357747013,2.188852404860907,-0.3746687550044428,0.4159713809484805,0.26081078609584046,0
Tokyo,-0.17971665772258666,0.6333351933026411,0.9742713420136194,-0.42239641714360643,-0.7740688235519583,-0.7014911049133384,0
Ulan Bator,0.38908575391156086,0.8888626090413054,0.12764531177421934,3.188580320255539,1.790926753477853,1.247843281056148,4
Vancouver,-1.1605727828174393,-1.339626725453915,-1.2890097561247817,-0.995994544028433,-1.0373567426182226,-1.5239073093294133,1
Vereeniging,0.14539523761516582,-1.3131472552994334,-0.8275981427714347,-0.3656779321948941,0.24730323886310607,0.4160109346868938,1
Łódź,-0.34939646987686784,-0.4286560734953495,0.4562354439332356,-0.27886018613705965,-0.18443239211457105,0.146460914126198,0
Ḩawallī,0.6867179580469512,0.21304714000553762,-1.1874438950454191,0.19152670038202818,2.0858841425740358,1.6580772071125012,4
