Country,City,count
AE,Abu Dhabi,24175
AF,Kabul,3939
AR,Buenos Aires,26890
AT,Vienna,27988
AU,Brisbane,32252
BA,Sarajevo,24712
BD,Dhaka,12737
BE,Brussels,23861
BG,Sofia,23437
BH,Manama,11657
BO,Cochabamba,6954
BR,São Paulo,30101
CA,Vancouver,29903
CH,Zürich,26252
CI,Abidjan,9285
CL,Calama,27868
CN,Shijiazhuang,28681
CO,Bogotá,32251
CR,San José,7236
CW,Willemstad,6431
CY,Nicosia,25924
CZ,Ostrava,26627
DE,Hamburg,28456
DK,Copenhagen,24010
DZ,Algiers,9840
EC,Quito,23075
EE,Tallinn,24380
ES,Bilbao,29425
ET,Addis Ababa,11389
FI,Helsinki,23835
FR,Marseille,28207
GB,London,29553
GE,Tbilisi,17796
GH,Accra,7798
GN,Conakry,5241
GR,Athens,20522
GT,Guatemala City,9717
HK,Hong Kong,30566
HR,Rijeka,26136
HU,Budapest,24732
ID,Jakarta,15234
IE,Dublin,21374
IL,Tel Aviv,29229
IN,Delhi,30839
IQ,Baghdad,10266
IR,Tehran,24592
IS,Reykjavík,22511
IT,Rome,27364
JO,Irbid,20189
JP,Tokyo,30304
KG,Bishkek,12376
KR,Seoul,28710
KW,Ḩawallī,19510
KZ,Nur-Sultan,17515
LA,Vientiane,11115
LK,Colombo,11942
LT,Kaunas,22367
MK,Skopje,28343
ML,Bamako,5044
MM,Yangon,11773
MN,Ulan Bator,26651
MO,Macau,28276
MX,Morelia,27191
MY,Malacca,13823
NL,Amsterdam,28704
NO,Oslo,21760
NP,Kathmandu,16309
NZ,Auckland,21490
PE,Lima,24570
PH,Manila,9274
PK,Islamabad,10762
PL,Łódź,29347
PR,San Juan,9135
PT,Lisbon,24972
RE,Saint-Denis,27896
RO,Bucharest,24345
RS,Belgrade,25764
RU,Moscow,26865
SA,Dammam,8689
SE,Stockholm,23409
SG,Singapore,25257
SK,Košice,24945
SV,San Salvador,16278
TH,Chiang Mai,29579
TJ,Dushanbe,11215
TM,Ashgabat,9860
TR,Ankara,27426
TW,Taipei,32289
UA,Kyiv,8810
UG,Kampala,11553
US,Fresno,28597
UZ,Tashkent,11896
VN,Hanoi,25989
XK,Pristina,19976
ZA,Vereeniging,25641
