City,Latitude,Longitude
vienna,48.20849,16.37208
brisbane,-27.46794,153.02809
brussels,50.85045,4.34878
cochabamba,-17.3895,-66.1568
são paulo,-23.5475,-46.63611
london,51.50853,-0.12574
london,42.98339,-81.23304
vancouver,49.24966,-123.11934
zürich,47.36667,8.55
calama,-22.45667,-68.92371
shijiazhuang,38.04139,114.47861
bogotá,4.60971,-74.08175
nicosia,35.17531,33.3642
ostrava,49.83465,18.28204
hamburg,53.55073,9.99302
copenhagen,55.67594,12.56553
bilbao,43.26271,-2.92528
helsinki,60.16952,24.93545
marseille,43.29695,5.38107
hong kong,22.27832,114.17469
rijeka,45.32673,14.44241
budapest,47.49835,19.04045
tel aviv,32.08088,34.78057
delhi,28.65195,77.23149
rome,41.89193,12.51133
tokyo,35.6895,139.69171
seoul,37.566,126.9784
kaunas,54.90272,23.90961
ulan bator,47.90771,106.88324
macau,22.20056,113.54611
morelia,19.70078,-101.18443
malacca,2.196,102.2405
amsterdam,52.37403,4.88969
oslo,59.91273,10.74609
lima,-12.04318,-77.02824
łódź,51.77058,19.47395
lisbon,38.71667,-9.13333
saint-denis,-20.88231,55.4504
moscow,55.75222,37.61556
singapore,1.28967,103.85007
košice,48.71395,21.25808
san salvador,13.68935,-89.18718
chiang mai,18.79038,98.98468
ankara,39.91987,32.85427
taipei,25.04776,121.53185
fresno,36.74773,-119.77237
hanoi,21.0245,105.84117
quito,-0.22985,-78.52495
tehran,35.69439,51.42151
bucharest,44.43225,26.10626
stockholm,59.32938,18.06871
skopje,41.99646,21.43141
sofia,42.69751,23.32415
belgrade,44.80401,20.46513
buenos aires,-34.61315,-58.37723
san juan,18.46633,-66.10572
guatemala city,14.64072,-90.51327
jakarta,-6.21462,106.84513
reykjavík,64.13548,-21.89541
abu dhabi,24.45118,54.39696
dhaka,23.7104,90.40744
pristina,42.67272,21.16688
sarajevo,43.84864,18.35644
manama,26.22787,50.58565
addis ababa,9.02497,38.74689
kathmandu,27.70169,85.3206
auckland,-36.84853,174.76349
ḩawallī,29.33278,48.02861
tallinn,59.43696,24.75353
kampala,0.31628,32.58219
colombo,6.93548,79.84868
manila,14.6042,120.9822
dublin,53.33306,-6.24889
nur-sultan,51.1801,71.44598
willemstad,12.1084,-68.93354
tashkent,41.26465,69.21627
vereeniging,-26.67313,27.92615
bishkek,42.87,74.59
irbid,32.55556,35.85
baghdad,33.34058,44.40088
kyiv,50.45466,30.5238
dammam,26.43442,50.10326
vientiane,17.96667,102.6
algiers,36.73225,3.08746
islamabad,33.72148,73.04329
yangon,16.80528,96.15611
dushanbe,38.53575,68.77905
ashgabat,37.95,58.38333
athens,37.98376,23.72784
kabul,34.52813,69.17233
tbilisi,41.69411,44.83368
san josé,9.93333,-84.08333
bamako,12.65,-8.0
abidjan,5.35444,-4.00167
conakry,9.53795,-13.67729
accra,5.55602,-0.1969
